 -0.1531E+02 -0.2417E+02 -0.3283E+01  0.9206E+00
 -0.1198E+02 -0.2045E+02 -0.3185E+01  0.9140E+00
 -0.9140E+01 -0.1718E+02 -0.3076E+01  0.9074E+00
 -0.6631E+01 -0.1434E+02 -0.2971E+01  0.9051E+00
 -0.4522E+01 -0.1192E+02 -0.2870E+01  0.9045E+00
 -0.2828E+01 -0.9710E+01 -0.2774E+01  0.9079E+00
 -0.1442E+01 -0.8318E+01 -0.2682E+01  0.9118E+00
 -0.2918E+00 -0.6936E+01 -0.2596E+01  0.9207E+00
  0.5897E+00 -0.5858E+01 -0.2516E+01  0.9328E+00
  0.1287E+01 -0.4989E+01 -0.2439E+01  0.9452E+00
  0.1780E+01 -0.4327E+01 -0.2378E+01  0.9653E+00
  0.2168E+01 -0.3797E+01 -0.2319E+01  0.9881E+00
  0.2418E+01 -0.3412E+01 -0.2260E+01  0.1011E+01
  0.2510E+01 -0.3198E+01 -0.2223E+01  0.1039E+01
  0.2520E+01 -0.3095E+01 -0.2194E+01  0.1072E+01
  0.2417E+01 -0.3071E+01 -0.2179E+01  0.1106E+01
  0.2297E+01 -0.3098E+01 -0.2165E+01  0.1146E+01
  0.2094E+01 -0.3193E+01 -0.2155E+01  0.1184E+01
  0.1872E+01 -0.3328E+01 -0.2169E+01  0.1230E+01
  0.1584E+01 -0.3497E+01 -0.2192E+01  0.1279E+01
  0.1272E+01 -0.3693E+01 -0.2235E+01  0.1334E+01
  0.9412E+00 -0.3899E+01 -0.2279E+01  0.1385E+01
  0.5932E+00 -0.4110E+01 -0.2344E+01  0.1440E+01
  0.2636E+00 -0.4288E+01 -0.2421E+01  0.1500E+01
 -0.1313E+00 -0.4517E+01 -0.2511E+01  0.1559E+01
 -0.5020E+00 -0.4683E+01 -0.2621E+01  0.1623E+01
